What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
Prevalence of depression in medically ill	Card 1	2015-11-26	Palliative Care SCE
In Scotland, what are the three types of power of attorney?	Card 1	2015-11-26	Palliative Care SCE
How does chronic DIC present?	Card 1	2015-11-26	Palliative Care SCE
What are the main contraindications for ocular tissue transplantation?	Card 1	2015-11-26	Palliative Care SCE
What is the evidence for the use of thalidomide in cancer cachexia?	Card 1	2015-11-26	Palliative Care SCE
If a person has a neurological disorder (i.e. MND, MS) what is the effect on their licence to drive?	Card 1	2015-11-26	Palliative Care SCE
If a person has an arrhythmia, what is the effect on their licence to drive?	Card 1	2015-11-26	Palliative Care SCE
Which chemotherapies is there a risk of pulmonary side-effects?	Card 1	2015-11-26	Palliative Care SCE
In managing fatigue in MS, {{c1::amantadine}} has {{c2::some clinical effect}}.	Cloze 2	2015-11-26	Palliative Care SCE
In heart failure {{c1::very high levels of BNP}} is indicative of a {{c2::poor prognosis}}.	Cloze 1	2015-11-26	Palliative Care SCE
Carol is capable of only limited selfcare; confined to bed or chair more than 50% of waking hours.   Her Eastern Cooperative Oncology Group score is {{c1::3}}.	Cloze 1	2015-11-26	Palliative Care SCE
The Caldecott Guardian's role is {{c1::strategic}} and they {{c2::represent and champion IG requirements/issues}} at the {{c3::Board or management level}}.	Cloze 1	2015-11-26	Palliative Care SCE
If a patient with lymphoedema is being managed in hospital for cellulitis, the first line antibiotic is {{c1::IV amoxicillin 2g TDS with gentamicin 5mg/kg}}, the second line is {{c2::clindamycin 1.2g QDS}}.	Cloze 1	2015-11-26	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~37000}} new {{c2::prostate cancer}} diagnoses registered in England, in 2012.	Cloze 1	2015-11-26	Palliative Care SCE
Above the age of {{c1::65}} the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-26	Palliative Care SCE
If there is {{c1::strong clinical suspicion}} that there is evidence of upper GI bleeding with NSAIDs, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-26	Palliative Care SCE
In postmenopausal women who have breast cancer, aromatase inhibitors can be given {{c1::first line}} for up to {{c2::five}} years.	Cloze 2	2015-11-26	Palliative Care SCE
The effect of NSAIDs on the {{c3::kidney}} may cause sulphonureas to {{c1::accumulate}}, putting the patient at risk of {{c2::hypoglycaemia}}.	Cloze 3	2015-11-26	Palliative Care SCE
Fluoxetine and paroxetine are hepatic enzyme {{c1::inhibitors}} and will cause {{c3::codeine, dihydrocodine and tramadol}} to have a {{c2::diminished effect}}.	Cloze 3	2015-11-26	Palliative Care SCE
Methadone is a {{c1::mu}}-receptor antagonist, a presynaptic {{c2::serotonin reuptake inhibitor}}, and an {{c3::NMDA receptor antagonist}}.	Cloze 3	2015-11-26	Palliative Care SCE
The main metabolites of morphine are {{c1::morphine-3-glucronide}} and {{c2::morphine-6-glucronide}}.	Cloze 2	2015-11-26	Palliative Care SCE
Metronidazole produces a {{c2::disulfram-like}} reaction in about {{c1::25%}} of patients.	Cloze 2	2015-11-26	Palliative Care SCE
In the community, in non-catheterised women, three symptoms independently predict UTI: 1. {{c1::cloudy urine}} 2. {{c2::dysuria}} 3. {{c3::recent-onset nocturia}}	Cloze 2	2015-11-26	Palliative Care SCE
In thalidomide-induced peripheral neuropathy: 1. {{c1::Strength}} is preserved 2. Mild decrease in {{c2::sensation}} distally 3. Reflexes, especially {{c3::ankle jerks}}, may be {{c3::depressed/absent}} 4. {{c4::Distal -> proximal}} progression	Cloze 1	2015-11-26	Palliative Care SCE
A {{c1::pruritic and maculopapular}} rash may occur {{c2::10-14 days}} after starting {{c3::thalidomide}}.	Cloze 3	2015-11-26	Palliative Care SCE
Spinal analgesia is effective in {{c1::>50%}} of patients.	Cloze 1	2015-11-26	Palliative Care SCE
Paraneoplastic cerebellar degeneration is an {{c2::autoimmune}} reaction against CNS components, especially {{c1::Purkinjie}} cells.	Cloze 2	2015-11-26	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 1	2015-11-26	Palliative Care SCE
Within what time period does an institution have to respond to a Freedom of information request?	Card 1	2015-11-27	Palliative Care SCE
How long prior to travel should you apply for a licence to carry controlled drugs?	Card 1	2015-11-27	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates for bone pain secondary to bone metastases (2009), what is the level of evidence?	Card 1	2015-11-27	Palliative Care SCE
Laxatives or methynaltrexone for managing constipation in palliative care patients?	Card 1	2015-11-27	Palliative Care SCE
What is the level of evidence for PEG feeding in MND?	Card 1	2015-11-27	Palliative Care SCE
What is the evidence for the use of exercise in cancer cachexia?	Card 1	2015-11-27	Palliative Care SCE
In Parkinson's disease, {{c1::Psychotic symptoms}} are potentially triggered by {{c2::anti-Parkinsonian medication}}, especially {{c3::rotigitine}} and {{c4::apomorphine}}.	Cloze 1	2015-11-27	Palliative Care SCE
In an acute flare of MS {{c1::IV or PO methylprednisolone}} is used for {{c2::3-5 days}}.	Cloze 2	2015-11-27	Palliative Care SCE
{{c1::Risperidone}} is the only licenced antipsychotic used in dementia. The licence is for {{c2::6 weeks}}, NICE recommend up to {{c3::12 weeks}}.	Cloze 2	2015-11-27	Palliative Care SCE
A Caldecott Guardian is a senior person responsible for {{c1::protecting the confidentiality of patient and service-user information}} and {{c2::enabling appropriate information-sharing}}.	Cloze 2	2015-11-27	Palliative Care SCE
The Caldecott Guardian's role is {{c1::strategic}} and they {{c2::represent and champion IG requirements/issues}} at the {{c3::Board or management level}}.	Cloze 2	2015-11-27	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~20000}} new {{c2::lung cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-27	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::oesophageal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-27	Palliative Care SCE
{{c1::Glaucoma}} is an {{c2::absolute contraindication}} to using methlyphenidate.	Cloze 1	2015-11-27	Palliative Care SCE
{{c1::1:1000}} patients attempt suicide in the {{c2::6 months}} after starting antidepressants.	Cloze 1	2015-11-27	Palliative Care SCE
{{c1::Fluoxetine}} and {{c2::paroxetine }} are strong hepatic enzyme inhibitors.	Cloze 1	2015-11-27	Palliative Care SCE
{{c1::IV ondansetron}} can be used to relieve pruritus induced by {{c2::spinal opioids}}.	Cloze 1	2015-11-27	Palliative Care SCE
In patients with SCLC the recommended number of systemic anticancer therapy cycles is {{c1::three to six}}.	Cloze 1	2015-11-27	Palliative Care SCE
Tramadol can {{c1::lower}} the seizure threshold, especially in combination with {{c2::SSRIs}}, {{c3::TCAs}} or {{c4::antipsychotics}}.	Cloze 2	2015-11-27	Palliative Care SCE
To convert oral methadone to SC/IV methadone, {{c1::halve}} the oral dose.	Cloze 1	2015-11-27	Palliative Care SCE
Oxycodone is {{c1::not}} recommended in severe renal impairment.	Cloze 1	2015-11-27	Palliative Care SCE
There is a possible relationship between {{c1::skin infections with NSAIDS}} and {{c2::necrotising fascitis}}.	Cloze 1	2015-11-27	Palliative Care SCE
If the bone is probed in osteonecrosis of the jaw, it is {{c1::non-tender}}.	Cloze 1	2015-11-27	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 3	2015-11-27	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 4	2015-11-27	Palliative Care SCE
Of the risks of suicide in depression, previous {{c1::self harm}} is the most important, followed by a {{c2::family}} history of {{c3::self harm}} or {{c3::suicide}}.	Cloze 1	2015-11-27	Palliative Care SCE
Of the risks of suicide in depression, previous {{c1::self harm}} is the most important, followed by a {{c2::family}} history of {{c3::self harm}} or {{c3::suicide}}.	Cloze 2	2015-11-27	Palliative Care SCE
A patient with a squamous cell carcinoma of the base of tongue reports painful fingers. On examination, they look like this:  img0043.jpg  What is the likely paraneoplastic syndrome?	Card 1	2015-11-27	Palliative Care SCE
In the Cochrane review 'Interventions for the treatment of metastatic extradural spinal cord compression (2008)', what is the evidence of benefit from decompressive surgery in ambulant patients with poor prognostic features for radiotherapy?	Card 1	2015-11-28	Palliative Care SCE
What is the level of evidence for the treatment of excessive saliva in MND?	Card 1	2015-11-28	Palliative Care SCE
In MND, what is used to initally assess whether NIV is needed?	Card 1	2015-11-28	Palliative Care SCE
{{c1::Phenoxypenicillin 500mg OD}}, or if penicillin-allergic, {{c2::erythromycin 250mg OD}} is used for prophalaxis in recurrent cellulitis in patients with lymphoedema.	Cloze 2	2015-11-28	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::renal cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-28	Palliative Care SCE
Dermatomyositis is a {{c1::paraneoplastic}} syndrome.	Cloze 1	2015-11-28	Palliative Care SCE
Dosage of fentanyl	Card 1	(2015-12-22)	Palliative Care SCE
Signs of opioid toxicity	Card 1	(2016-09-28)	Palliative Care SCE
Ceiling doses of the weak opioids	Card 1	(2016-10-03)	Palliative Care SCE
Rx of opioid toxicity	Card 1	(2016-10-09)	Palliative Care SCE
What must be addressed when prescribing morphine	Card 1	(2016-10-21)	Palliative Care SCE
Side effects of morphine	Card 1	(2016-10-24)	Palliative Care SCE
Causes of pain in palliative care	Card 1	(2018-05-25)	Palliative Care SCE
Dosage of morphine	Card 1	(2018-06-10)	Palliative Care SCE
Calculations in prescribing morphine	Card 1	(2018-07-01)	Palliative Care SCE
Dosage conversion between analgesics	Card 1	(2018-07-05)	Palliative Care SCE
Should you combine weak opioids?	Card 1	(2018-08-01)	Palliative Care SCE
