"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;<span class=cloze>[...]</span> or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.	In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;<span class=cloze>FEV1 &lt;30%</span> or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.<br><br>
In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;<span class=cloze>[...]</span>,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.	In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;<span class=cloze>cyanosis</span>,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;raised JVP.<br><br>
In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;<span class=cloze>[...]</span>,&nbsp;peripheral oedema or&nbsp;raised JVP.	In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;<span class=cloze>polycythaemia</span>,&nbsp;peripheral oedema or&nbsp;raised JVP.<br><br>
In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;<span class=cloze>[...]</span> or&nbsp;raised JVP.	In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;<span class=cloze>peripheral oedema</span> or&nbsp;raised JVP.<br><br>
In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;<span class=cloze>[...]</span>.	In COPD, patients should be assessed for LTOT when their sats are &lt;92%, their&nbsp;FEV1 &lt;30% or there is evidence of&nbsp;cyanosis,&nbsp;polycythaemia,&nbsp;peripheral oedema or&nbsp;<span class=cloze>raised JVP</span>.<br><br>
If a COPD patient is acidotic/hypercapnic on LTOT, consider&nbsp;<span class=cloze>[...]</span>.	If a COPD patient is acidotic/hypercapnic on LTOT, consider&nbsp;<span class=cloze>NIV</span>.<br><br>
What is the ABG criteria for starting LTOT in COPD?	- PaO<sub>2 </sub>&lt;7.3<div>- PaO<sub>2</sub>&nbsp;&lt;8 with secondary polycythaemia, pulmonary hypertension, peripheral oedema or nocturnal hypoxaemia</div>
In the context of COPD, do not treat cor pulmonale with&nbsp;<span class=cloze>[...]</span>.	In the context of COPD, do not treat cor pulmonale with&nbsp;<span class=cloze>ACE-i, Ca-channel blockers or alpha-blockers</span>.<br><br>
A person who is not troubled by breathlessness except on strenuous exercise is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>[...]</span>.	A person who is not troubled by breathlessness except on strenuous exercise is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>1</span>.<br><br>
A person who is short of breath when hurrying or walking up a slight hill is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>[...]</span>.	A person who is short of breath when hurrying or walking up a slight hill is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>2</span>.<br><br>
A person who walks slower than contemporaries on level ground because of breathlessness, or has to stop for breath when walking at their own pace is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>[...]</span>.	A person who walks slower than contemporaries on level ground because of breathlessness, or has to stop for breath when walking at their own pace is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>3</span>.<br><br>
A person who has to stop for breath after walking ~100m, or after a few minutes on level ground is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>[...]</span>.	A person who has to stop for breath after walking ~100m, or after a few minutes on level ground is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>4</span>.<br><br>
A person who is too breathless to leave the house, or is breathless when dressing or undressing is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>[...]</span>.	A person who is too breathless to leave the house, or is breathless when dressing or undressing is graded on the MRC breathlessness scale at&nbsp;<span class=cloze>5</span>.<br><br>
&nbsp;Bob is fully active, able to carry on all pre-disease performance without restriction.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	&nbsp;Bob is fully active, able to carry on all pre-disease performance without restriction.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>0</span>.</div><br><br>
Alice is restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	Alice is restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>1</span>.</div><br><br>
Eve is ambulatory and capable of all selfcare but unable to carry out any work activities; up and about more than 50% of waking hours.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	Eve is ambulatory and capable of all selfcare but unable to carry out any work activities; up and about more than 50% of waking hours.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>2</span>.</div><br><br>
Carol is capable of only limited selfcare; confined to bed or chair more than 50% of waking hours.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	Carol is capable of only limited selfcare; confined to bed or chair more than 50% of waking hours.<div><br /></div><div>Her Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>3</span>.</div><br><br>
Bill is completely disabled; cannot carry on any selfcare and totally confined to bed or chair.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	Bill is completely disabled; cannot carry on any selfcare and totally confined to bed or chair.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>4</span>.</div><br><br>
Frank is dead.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>[...]</span>.</div>	Frank is dead.<div><br /></div><div>His Eastern&nbsp;Cooperative Oncology Group score is&nbsp;<span class=cloze>5</span>.</div><br><br>
In idiopathic pulmonary fibrosis, NICE&nbsp;<span class=cloze>[...]</span> the use of&nbsp;steroids for treatment.	In idiopathic pulmonary fibrosis, NICE&nbsp;<span class=cloze>do not recommend</span> the use of&nbsp;steroids for treatment.<br><br>But they do recommend it in other types of pulmonary fibrosis, like UPF.
In idiopathic pulmonary fibrosis, NICE&nbsp;do not recommend the use of&nbsp;<span class=cloze>[...]</span> for treatment.	In idiopathic pulmonary fibrosis, NICE&nbsp;do not recommend the use of&nbsp;<span class=cloze>steroids</span> for treatment.<br><br>But they do recommend it in other types of pulmonary fibrosis, like UPF.
In the management of cough in idiopathic pulmonary fibrosis, what do NICE recommend?	Consider:<div>- other causes, like GORD</div><div>- using opioids as a cough suppressant</div><div>- thalidomide, but via a specialist</div>
Riluzole extends tracheostomy-free survival by&nbsp;<span class=cloze>[...]</span> after&nbsp;18 months of treatment.	Riluzole extends tracheostomy-free survival by&nbsp;<span class=cloze>2-4 months</span> after&nbsp;18 months of treatment.<br><br>
Riluzole extends tracheostomy-free survival by&nbsp;2-4 months after&nbsp;<span class=cloze>[...]</span> of treatment.	Riluzole extends tracheostomy-free survival by&nbsp;2-4 months after&nbsp;<span class=cloze>18 months</span> of treatment.<br><br>
What is the NNT for riluzole to delay death at one year?	11
In MND, what is used to initally assess whether NIV is needed?	Sats<div>FVC</div><div>Sniff test</div>
In MND, if the patient's sats are&nbsp;<span class=cloze>[...]</span>, or&nbsp;&gt;92% with lung disease, with other Ix OK - then NIV is not needed.	In MND, if the patient's sats are&nbsp;<span class=cloze>&gt;94% with no lung disease</span>, or&nbsp;&gt;92% with lung disease, with other Ix OK - then NIV is not needed.<br><br>
In MND, if the patient's sats are&nbsp;&gt;94% with no lung disease, or&nbsp;<span class=cloze>[...]</span>, with other Ix OK - then NIV is not needed.	In MND, if the patient's sats are&nbsp;&gt;94% with no lung disease, or&nbsp;<span class=cloze>&gt;92% with lung disease</span>, with other Ix OK - then NIV is not needed.<br><br>
In MND, if a patient's sats are low, check the ABG. If their&nbsp;<span class=cloze>[...]</span> then refer to the NIV service. If their&nbsp;CO<sub>2 </sub>is &gt;6, then urgently refer for NIV within one week.	In MND, if a patient's sats are low, check the ABG. If their&nbsp;<span class=cloze>CO<sub>2 </sub>is normal</span> then refer to the NIV service. If their&nbsp;CO<sub>2 </sub>is &gt;6, then urgently refer for NIV within one week.<br><br>
In MND, if a patient's sats are low, check the ABG. If their&nbsp;CO<sub>2 </sub>is normal then refer to the NIV service. If their&nbsp;<span class=cloze>[...]</span>, then urgently refer for NIV within one week.	In MND, if a patient's sats are low, check the ABG. If their&nbsp;CO<sub>2 </sub>is normal then refer to the NIV service. If their&nbsp;<span class=cloze>CO<sub>2 </sub>is &gt;6</span>, then urgently refer for NIV within one week.<br><br>
Aim to insert a PEG into patients with MND, before their&nbsp;<span class=cloze>[...]</span> or&nbsp;aspiration pneumonia or&nbsp;significant weight loss.	Aim to insert a PEG into patients with MND, before their&nbsp;<span class=cloze>FVC &lt;50%</span> or&nbsp;aspiration pneumonia or&nbsp;significant weight loss.<br><br>
Aim to insert a PEG into patients with MND, before their&nbsp;FVC &lt;50% or&nbsp;<span class=cloze>[...]</span> or&nbsp;significant weight loss.	Aim to insert a PEG into patients with MND, before their&nbsp;FVC &lt;50% or&nbsp;<span class=cloze>aspiration pneumonia</span> or&nbsp;significant weight loss.<br><br>
Aim to insert a PEG into patients with MND, before their&nbsp;FVC &lt;50% or&nbsp;aspiration pneumonia or&nbsp;<span class=cloze>[...]</span>.	Aim to insert a PEG into patients with MND, before their&nbsp;FVC &lt;50% or&nbsp;aspiration pneumonia or&nbsp;<span class=cloze>significant weight loss</span>.<br><br>
How long can a PEG last?	18 months to 5 years
What is the drug treatment for Alzheimer's dementia?	1<sup>st </sup>line: anticholinesterase inhibitors, for mild-moderate Alzheimers (donezepil, rivastigmine, galantamine)<div><br /></div><div>2<sup>nd</sup>&nbsp;line: NMDA receptor antagonist (memantine), for severe Alzheimers</div>
What is the recommended drug treatment for vascular dementia?	Drugs not recommended
In the NICE guidelines for dementia, regarding behaviours which challenge, most of these will usually stop after&nbsp;<span class=cloze>[...]</span> with no treatment.	In the NICE guidelines for dementia, regarding behaviours which challenge, most of these will usually stop after&nbsp;<span class=cloze>4 weeks</span> with no treatment.<br><br>
<span class=cloze>[...]</span> is the only licenced antipsychotic used in dementia. The licence is for&nbsp;6 weeks, NICE recommend up to&nbsp;12 weeks.	<span class=cloze>Risperidone</span> is the only licenced antipsychotic used in dementia. The licence is for&nbsp;6 weeks, NICE recommend up to&nbsp;12 weeks.<br><br>
Risperidone is the only licenced antipsychotic used in dementia. The licence is for&nbsp;<span class=cloze>[...]</span>, NICE recommend up to&nbsp;12 weeks.	Risperidone is the only licenced antipsychotic used in dementia. The licence is for&nbsp;<span class=cloze>6 weeks</span>, NICE recommend up to&nbsp;12 weeks.<br><br>
Risperidone is the only licenced antipsychotic used in dementia. The licence is for&nbsp;6 weeks, NICE recommend up to&nbsp;<span class=cloze>[...]</span>.	Risperidone is the only licenced antipsychotic used in dementia. The licence is for&nbsp;6 weeks, NICE recommend up to&nbsp;<span class=cloze>12 weeks</span>.<br><br>
In the management of behaviours which challenge in the context of dementia, BZDs have&nbsp;<span class=cloze>[...]</span> and may&nbsp;increase risk of a fall.	In the management of behaviours which challenge in the context of dementia, BZDs have&nbsp;<span class=cloze>no evidence of benefit</span> and may&nbsp;increase risk of a fall.<br><br>
In the management of behaviours which challenge in the context of dementia, BZDs have&nbsp;no evidence of benefit and may&nbsp;<span class=cloze>[...]</span>.	In the management of behaviours which challenge in the context of dementia, BZDs have&nbsp;no evidence of benefit and may&nbsp;<span class=cloze>increase risk of a fall</span>.<br><br>
In the context of dementia, there is&nbsp;<span class=cloze>[...]</span> that PEG feeding increases survival, improves nutritional status or reduces pressure ulcers.	In the context of dementia, there is&nbsp;<span class=cloze>no evidence</span> that PEG feeding increases survival, improves nutritional status or reduces pressure ulcers.<br><br>
Bob has an area of skin which is a non-blanchable erythema of intact skin.<div><br /></div><div>He has a&nbsp;<span class=cloze>[...]</span> pressure ulcer.</div>	Bob has an area of skin which is a non-blanchable erythema of intact skin.<div><br /></div><div>He has a&nbsp;<span class=cloze>Grade 1</span> pressure ulcer.</div><br><br>
Alice has an area of skin which appears to be an ulcer. There is partial thickness skin loss involving the epidermis and dermis.<div><br /></div><div>She has a&nbsp;<span class=cloze>[...]</span> pressure ulcer.</div>	Alice has an area of skin which appears to be an ulcer. There is partial thickness skin loss involving the epidermis and dermis.<div><br /></div><div>She has a&nbsp;<span class=cloze>Grade 2</span> pressure ulcer.</div><br><br>
Eve has an area of skin which appears to be an ulcer. There is Full thickness skin loss with visible subcutaneous fat. Bone, tendon and muscle are not exposed.<div><br /></div><div>She has a&nbsp;<span class=cloze>[...]</span> pressure ulcer.</div>	Eve has an area of skin which appears to be an ulcer. There is Full thickness skin loss with visible subcutaneous fat. Bone, tendon and muscle are not exposed.<div><br /></div><div>She has a&nbsp;<span class=cloze>Grade 3</span> pressure ulcer.</div><br><br>
Frank has an area of skin which appears to be an ulcer. There is full thickness tissue loss with exposed bone (or directly palpable), and tendon.<div><br /></div><div>He has a&nbsp;<span class=cloze>[...]</span> pressure ulcer.</div>	Frank has an area of skin which appears to be an ulcer. There is full thickness tissue loss with exposed bone (or directly palpable), and tendon.<div><br /></div><div>He has a&nbsp;<span class=cloze>Grade 4</span> pressure ulcer.</div><br><br>
Prescriptions for Schedule 2, 3 and 4 are valid for&nbsp;<span class=cloze>[...]</span>.	Prescriptions for Schedule 2, 3 and 4 are valid for&nbsp;<span class=cloze>28 days</span>.<br><br>
Prescriptions for schedule 5 controlled drugs are valid for&nbsp;<span class=cloze>[...]</span>.	Prescriptions for schedule 5 controlled drugs are valid for&nbsp;<span class=cloze>6 months</span>.<br><br>
